"","data","sta","x","y","BPC"
"18592","RSMP","RSMP22881",1.92071,53.4966,3390.92672490466
"18593","RSMP","RSMP4570",-3.66687,53.49669,944.331686668561
"18594","RSMP","RSMP25953",2.47004,53.49731,931.214928565617
"18595","RSMP","RSMP25625",2.31017,53.49736,11184.6685822789
"18596","RSMP","RSMP5410",-3.51261,53.49777,3768.35404601859
"18597","RSMP","RSMP4892",-3.60904,53.4978,953.740890520735
"18598","RSMP","RSMP4383",-3.70604,53.49808,228.079997518643
"18599","RSMP","RSMP18169",1.13685,53.49822,2855.19782287905
"18600","RSMP","RSMP17945",1.09402,53.49875,130.411558543203
"18601","RSMP","RSMP5232",-3.55152,53.49901,1008.2713431341
"18602","RSMP","RSMP4111",-3.80215,53.49923,1825.94449681879
"18603","RSMP","RSMP17941",1.09234,53.49924,239.514750481421
"18604","RSMP","RSMP4670",-3.64854,53.49925,170.668482396412
"18605","RSMP","RSMP1838",-5,53.5,8502.00862218467
"18606","RSMP","RSMP3704",-4,53.5,11923.4032490795
"18607","RSMP","RSMP17547",1,53.5,5831.38122516709
"18608","NSBS","NSBS101",2,53.5,205.372750866868
"18609","RSMP","RSMP23666",2,53.5,7574.76287530763
"18610","MWTL","MWTL6",3,53.5,1379.08634432829
"18611","NSBS","NSBS133",3,53.5,1740.33768810225
"18612","MWTL","MWTL32",3.5,53.5,953.52902811526
"18613","NSBS","NSBS160",4,53.5,676.506767912425
"18614","NSBS","NSBS179",5,53.5,312.855184054416
"18615","NSBS","NSBS195",6,53.5,643.279997940368
"18616","NSBS","NSBS211",7,53.5,18.6211304648979
"18617","RSMP","RSMP20143",1.56159,53.50011,2108.8049476126
"18618","RSMP","RSMP4426",-3.69298,53.5002,22536.3057356289
"18619","RSMP","RSMP16136",0.67541,53.50027,8007.50045711772
"18620","RSMP","RSMP17066",0.87541,53.50029,849.346576559672
"18621","RSMP","RSMP17065",0.87535,53.50031,3827.52175735972
"18622","RSMP","RSMP17064",0.8753,53.50032,935.440888253222
"18623","RSMP","RSMP5021",-3.59058,53.50039,1085.47510215506
"18624","RSMP","RSMP16283",0.69663,53.50042,6334.10129276377
"18625","RSMP","RSMP4442",-3.68771,53.50065,620.172012342209
"18626","RSMP","RSMP19023",1.33253,53.50066,2898.29650119452
"18627","RSMP","RSMP23607",1.996,53.50088,1496.09369831658
"18628","RSMP","RSMP23274",1.95382,53.50103,408.463192842298
"18629","RSMP","RSMP17071",0.87612,53.50105,115.5372038857
"18630","RSMP","RSMP17070",0.87592,53.50108,244.092544311619
"18631","RSMP","RSMP4137",-3.78378,53.50111,625.979708405008
"18632","RSMP","RSMP17069",0.87588,53.50111,326.300291179492
"18633","RSMP","RSMP17073",0.87629,53.50114,282.437364516035
"18634","RSMP","RSMP25854",2.39451,53.50145,422.469639023289
"18635","RSMP","RSMP5304",-3.5332,53.50158,416.293452329379
