"","data","sta","x","y","TotalDens"
"11775","RSMP","RSMP23228",1.94775,51.76988,150
"11776","RSMP","RSMP1461",-5.16,51.77,9910
"11777","RSMP","RSMP1523",-5.13,51.77,8100
"11778","RSMP","RSMP23298",1.95643,51.77008,30
"11779","RSMP","RSMP23300",1.95657,51.77018,50
"11780","RSMP","RSMP19225",1.41035,51.77027,10700
"11781","RSMP","RSMP23297",1.95636,51.77035,10
"11782","RSMP","RSMP23459",1.97817,51.77051,10530
"11783","RSMP","RSMP19282",1.42802,51.77055,18950
"11784","RSMP","RSMP20228",1.57681,51.77167,50
"11785","RSMP","RSMP20567",1.63658,51.77178,40
"11786","RSMP","RSMP17590",1.01315,51.77222,2430
"11787","RSMP","RSMP18373",1.19438,51.77233,1970
"11788","RSMP","RSMP20369",1.60639,51.7726,1050
"11789","RSMP","RSMP1436",-5.18068,51.77337,1140
"11790","RSMP","RSMP17650",1.02928,51.77373,3210
"11791","RSMP","RSMP18994",1.32507,51.774,170
"11792","RSMP","RSMP19272",1.42257,51.77403,27670
"11793","RSMP","RSMP1459",-5.16576,51.77463,10350
"11794","RSMP","RSMP20508",1.62725,51.77463,600
"11795","RSMP","RSMP17603",1.01545,51.77473,7900
"11796","RSMP","RSMP20436",1.62143,51.77507,200
"11797","RSMP","RSMP22447",1.88478,51.77526,4950
"11798","RSMP","RSMP19567",1.49992,51.77565,750
"11799","RSMP","RSMP1516",-5.13162,51.77582,5980
"11800","RSMP","RSMP19565",1.49891,51.776,330
"11801","RSMP","RSMP17611",1.01891,51.77604,1890
"11802","RSMP","RSMP19143",1.38507,51.77633,40
"11803","RSMP","RSMP22800",1.91442,51.77656,7250
"11804","RSMP","RSMP20154",1.56412,51.77672,2400
"11805","RSMP","RSMP19211",1.40629,51.7771,550
"11806","RSMP","RSMP17657",1.03087,51.77717,70
"11807","RSMP","RSMP17529",0.9967,51.77767,240
"11808","RSMP","RSMP19187",1.39928,51.77771,490
"11809","RSMP","RSMP19215",1.40716,51.7778,1390
"11810","RSMP","RSMP24782",2.0957,51.77809,210
"11811","RSMP","RSMP19217",1.4077,51.77863,1300
"11812","RSMP","RSMP19218",1.40772,51.77863,680
"11813","RSMP","RSMP18215",1.15188,51.77877,50
"11814","RSMP","RSMP24304",2.05343,51.77896,1230
"11815","RSMP","RSMP19216",1.4076,51.779,710
"11816","RSMP","RSMP25032",2.13212,51.77947,4110
"11817","RSMP","RSMP23791",2.00895,51.77952,6050
"11818","RSMP","RSMP19874",1.53698,51.77998,7650
"11819","RSMP","RSMP1311",-5.28,51.78,2130
"11820","RSMP","RSMP1335",-5.26,51.78,14520
"11821","RSMP","RSMP1406",-5.2,51.78,4930
"11822","RSMP","RSMP1485",-5.15,51.78,9750
"11823","RSMP","RSMP1554",-5.11,51.78,2520
"11824","RSMP","RSMP1331",-5.26451,51.78042,12210
"11825","RSMP","RSMP17619",1.02027,51.78065,520
"11826","RSMP","RSMP19615",1.50677,51.78131,120
"11827","RSMP","RSMP25059",2.13497,51.78143,22830
"11828","RSMP","RSMP20780",1.67143,51.78227,15620
"11829","RSMP","RSMP20781",1.67147,51.78228,10920
"11830","RSMP","RSMP17637",1.02496,51.78252,12040
"11831","RSMP","RSMP20679",1.65337,51.78275,50
