"","data","sta","x","y","AFDW_S"
"289","HELCOM","HELCOM36",10.2512,55.00028333,0.0195348837209302
"290","HELCOM","HELCOM360",17.62901667,61.18943333,NA
"291","HELCOM","HELCOM361",17.6291,61.18958333,NA
"292","HELCOM","HELCOM362",17.62925,61.18948333,NA
"293","HELCOM","HELCOM363",17.65283333,58.7815,0.480597014925372
"294","HELCOM","HELCOM364",17.653,58.76783333,0.188059701492537
"295","HELCOM","HELCOM365",17.66028333,61.27048333,0.013216049308382
"296","HELCOM","HELCOM366",17.66038333,61.2704,NA
"297","HELCOM","HELCOM367",17.66038333,61.2705,NA
"298","HELCOM","HELCOM368",17.6605,61.27033333,NA
"299","HELCOM","HELCOM369",17.66317,61.23333,0.19879534169492
"300","HELCOM","HELCOM37",10.25586667,56.56623333,0.00811357299631873
"301","HELCOM","HELCOM370",17.6646,61.25248333,NA
"302","HELCOM","HELCOM371",17.66461667,61.25248333,0.013189430880772
"303","HELCOM","HELCOM372",17.66478333,61.25248333,NA
"304","HELCOM","HELCOM373",17.66503333,61.25248333,NA
"305","HELCOM","HELCOM376",17.66668333,61.2334,NA
"306","HELCOM","HELCOM378",17.6705,58.79716667,0.0104477611940299
"307","HELCOM","HELCOM379",17.682,61.9295,0.0660136333901537
"308","HELCOM","HELCOM38",10.2622,56.58273333,0.0274378853027341
"309","HELCOM","HELCOM380",17.68333333,58.73816667,NA
"310","HELCOM","HELCOM381",17.6915,58.774,0.00241148325358852
"311","HELCOM","HELCOM382",17.71866667,58.75883333,NA
"312","HELCOM","HELCOM383",17.72833333,58.79033333,NA
"313","HELCOM","HELCOM384",17.74,61.94,0.0264054533560614
"314","HELCOM","HELCOM385",17.7525,58.76883333,NA
"315","HELCOM","HELCOM386",17.76283333,58.79316667,0.0438805970149254
"316","HELCOM","HELCOM387",17.81416667,58.744,0.00241148325358852
"317","HELCOM","HELCOM388",17.83133333,58.76683333,NA
"318","HELCOM","HELCOM389",17.83683333,58.74466667,0.0710447761194031
"319","HELCOM","HELCOM39",10.28968333,56.13398333,170.962173043321
"320","HELCOM","HELCOM390",17.84233333,58.719,NA
"321","HELCOM","HELCOM391",18.16667,62.13333,0.109142540538387
"322","HELCOM","HELCOM392",18.23333,61.18333,0.0779589575274196
"323","HELCOM","HELCOM393",18.2873,62.79953333,NA
"324","HELCOM","HELCOM394",18.28796667,62.7996,0.013216049308382
"325","HELCOM","HELCOM395",18.288,62.7995,NA
"326","HELCOM","HELCOM396",18.28818333,62.7997,0.0132427753939398
"327","HELCOM","HELCOM397",18.29835,62.7664,NA
"328","HELCOM","HELCOM398",18.29898333,62.76598333,NA
"329","HELCOM","HELCOM399",18.29918333,62.76618333,NA
"330","HELCOM","HELCOM4",8.8603,56.75361667,0.0292153618326609
"331","HELCOM","HELCOM40",10.29603333,56.59656667,0.00550142111994416
"332","HELCOM","HELCOM400",18.29941667,62.76618333,NA
"333","HELCOM","HELCOM401",18.31813333,62.79943333,NA
"334","HELCOM","HELCOM402",18.3182,62.79938333,NA
"335","HELCOM","HELCOM403",18.3184,62.79958333,NA
"336","HELCOM","HELCOM404",18.31875,62.79926667,NA
"337","HELCOM","HELCOM405",18.39198333,62.7828,NA
"338","HELCOM","HELCOM406",18.39216667,62.78283333,NA
"339","HELCOM","HELCOM407",18.39218333,62.78288333,NA
"340","HELCOM","HELCOM408",18.39223333,62.78283333,NA
"341","HELCOM","HELCOM409",18.39528333,62.81838333,NA
"342","HELCOM","HELCOM41",10.29833333,55.595,63.9213704639114
"343","HELCOM","HELCOM410",18.39535,62.81851667,NA
"344","HELCOM","HELCOM411",18.39536667,62.8184,NA
"345","HELCOM","HELCOM412",18.39538333,62.8186,NA
"346","HELCOM","HELCOM413",18.4,55.555,NA
"347","HELCOM","HELCOM414",18.45628333,62.8273,0.0264855507878796
"348","HELCOM","HELCOM415",18.45666667,62.82743333,0.0925123451586735
"349","HELCOM","HELCOM416",18.4567,62.82738333,NA
"350","HELCOM","HELCOM417",18.45676667,62.82703333,0.013189430880772
"351","HELCOM","HELCOM418",18.4835,60.32316667,NA
"352","HELCOM","HELCOM419",18.52178333,62.8511,NA
"353","HELCOM","HELCOM42",10.2997,56.60506667,0.0219760156029724
"354","HELCOM","HELCOM420",18.52185,62.8509,NA
"355","HELCOM","HELCOM421",18.52196667,62.851,NA
"356","HELCOM","HELCOM422",18.52208333,62.85098333,0.0264320986167639
"357","HELCOM","HELCOM423",18.52533333,60.302,NA
"358","HELCOM","HELCOM424",18.55183333,60.299,NA
"359","HELCOM","HELCOM425",18.5645,60.27016667,NA
"360","HELCOM","HELCOM426",18.5837,62.86311667,NA
"361","HELCOM","HELCOM427",18.5837,62.86318333,NA
"362","HELCOM","HELCOM428",18.5838,62.86318333,0.0529711015757593
