"","data","sta","x","y","AFDW"
"27614","SHARK","SHARK911",15.6103,56.1507,27.7299409123252
"27615","SHARK","SHARK963",15.6668,56.1507,6.69611244762736
"27616","SHARK","SHARK968",15.6672,56.1507,47.7538845262683
"27617","ODAM","ODAM1807",10.6291,56.1508,41.4110733963638
"27618","SHARK","SHARK966",15.667,56.1508,23.241148336963
"27619","ODAM","ODAM1196",10.2582,56.1509,18.866810236983
"27620","SHARK","SHARK815",15.4961,56.1513,7.55848984156995
"27621","ODAM","ODAM1185",10.2518,56.1515,38.5631674700988
"27622","SHARK","SHARK541",14.7113,56.1515,8.281902275101
"27623","SHARK","SHARK956",15.6622,56.1515,21.6557632211076
"27624","SHARK","SHARK572",14.7349,56.1516,15.2424038356527
"27625","SHARK","SHARK658",14.878,56.1516,13.6274533534804
"27626","SHARK","SHARK825",15.509,56.152,52.9839662199078
"27627","SHARK","SHARK757",15.2769,56.1523,30.4085196999487
"27628","SHARK","SHARK952",15.6585,56.1525,28.772418389869
"27629","SHARK","SHARK803",15.459,56.153,139.378912838015
"27630","SHARK","SHARK596",14.7661,56.1531,51.7277033472924
"27631","SHARK","SHARK758",15.2851,56.1531,4.93041115542383
"27632","SHARK","SHARK957",15.6656,56.1532,1.8639778835682
"27633","SHARK","SHARK923",15.6154,56.1534,19.1358868276535
"27634","SHARK","SHARK922",15.6152,56.1535,27.3357315398204
"27635","SHARK","SHARK924",15.6154,56.1535,14.201837936245
"27636","SHARK","SHARK921",15.6151,56.1536,22.5487878062904
"27637","SHARK","SHARK925",15.6154,56.1536,27.4772696123012
"27638","SHARK","SHARK926",15.6156,56.1536,24.5188571133805
"27639","SHARK","SHARK565",14.7285,56.1538,18.0446151369761
"27640","SHARK","SHARK927",15.6157,56.1538,29.2682663996351
"27641","SHARK","SHARK727",15.1267,56.1539,18.6497749202488
"27642","SHARK","SHARK1006",15.7179,56.1539,15.9441757697054
"27643","SHARK","SHARK753",15.2614,56.154,1.33257621806201
"27644","ODAM","ODAM1330",10.3027,56.1544,52.3946429334109
"27645","ODAM","ODAM3096",12.3449,56.1544,53.0105000316765
"27646","HELCOM","HELCOM134",12.34491667,56.1544,370.561640443437
"27647","SHARK","SHARK564",14.7283,56.1546,15.4594435319936
"27648","ODAM","ODAM1354",10.3187,56.1547,32.2038021508423
"27649","SHARK","SHARK567",14.729,56.1549,31.1264969339957
"27650","RSMP","RSMP22949",1.92454,56.15496,31.670453425709
"27651","ODAM","ODAM1521",10.455,56.1552,184.255829335369
"27652","SHARK","SHARK756",15.2737,56.1552,1.72175510822773
"27653","SHARK","SHARK782",15.3039,56.1554,26.5425770894884
"27654","SHARK","SHARK568",14.729,56.1555,23.025983579583
"27655","SHARK","SHARK784",15.307,56.1556,168.373368202059
"27656","ODAM","ODAM1803",10.6264,56.1557,173.431162875961
"27657","SHARK","SHARK750",15.2391,56.156,49.0929759128759
"27658","ODAM","ODAM1221",10.2704,56.1561,25.6460799479603
"27659","ODAM","ODAM3086",12.312,56.1562,1.65998864102499
"27660","ODAM","ODAM3087",12.3125,56.1562,10.7733943681144
"27661","SHARK","SHARK566",14.7286,56.1566,45.491169801633
"27662","SHARK","SHARK835",15.5142,56.1566,140.624788255113
"27663","ODAM","ODAM1387",10.3664,56.1567,14.9909660574161
"27664","SHARK","SHARK838",15.521,56.157,52.4455396209139
"27665","SHARK","SHARK535",14.7025,56.1571,9.14336354544194
"27666","SHARK","SHARK759",15.2857,56.1576,6.11866717244285
"27667","RSMP","RSMP22176",1.85975,56.15775,27.2158359803018
"27668","SHARK","SHARK779",15.3007,56.1578,25.8885071824908
"27669","SHARK","SHARK764",15.2944,56.1579,12.5182898743107
"27670","SHARK","SHARK657",14.8757,56.158,9.38981259106825
"27671","SHARK","SHARK762",15.2894,56.158,6.92118692922317
"27672","SHARK","SHARK778",15.3006,56.158,2.54685709208846
"27673","ODAM","ODAM1768",10.608,56.1582,14.1953877668048
"27674","SHARK","SHARK766",15.2946,56.1583,8.5573859770346
"27675","SHARK","SHARK769",15.2947,56.1583,53.8021539125625
"27676","SHARK","SHARK773",15.2948,56.1583,39.074131764196
"27677","SHARK","SHARK774",15.2949,56.1583,37.0953191299776
"27678","SHARK","SHARK775",15.295,56.1583,20.8180516726746
"27679","SHARK","SHARK767",15.2946,56.1584,34.3145932176296
"27680","SHARK","SHARK770",15.2947,56.1584,49.0173565445296
"27681","SHARK","SHARK776",15.295,56.1584,44.462761528765
"27682","SHARK","SHARK768",15.2946,56.1585,20.4820519365111
"27683","SHARK","SHARK771",15.2947,56.1585,38.9969788539914
"27684","SHARK","SHARK765",15.2945,56.1586,38.686969121013
"27685","SHARK","SHARK772",15.2947,56.1586,46.3765913816456
"27686","SHARK","SHARK763",15.2937,56.159,20.3544868182108
"27687","SHARK","SHARK796",15.412,56.1591,33.737305316587
"27688","ODAM","ODAM1543",10.4659,56.1597,39.5690276938684
"27689","SHARK","SHARK650",14.8626,56.1597,18.9001085896861
"27690","SHARK","SHARK760",15.286,56.1597,10.922536109024
"27691","SHARK","SHARK761",15.2891,56.1597,9.60108914659224
"27692","SHARK","SHARK693",14.9617,56.16,20.1758544675938
"27693","RSMP","RSMP22548",1.89078,56.16008,12.1414814410095
"27694","SHARK","SHARK837",15.5149,56.1607,4.71549456839145
"27695","SHARK","SHARK695",14.9897,56.1618,25.6548993340905
"27696","RSMP","RSMP24150",2.0444,56.16222,6.28053152937761
"27697","HELCOM","HELCOM69",10.7309,56.16223333,217.007241976357
"27698","SHARK","SHARK777",15.2956,56.1626,11.3168546578063
"27699","SHARK","SHARK820",15.5,56.163,11.5053462713154
"27700","ODAM","ODAM1197",10.2582,56.1632,110.656989407286
"27701","RSMP","RSMP6741",-2.48956,56.16395,44.4228443833123
"27702","SHARK","SHARK805",15.462,56.165,5.86254021401549
"27703","SHARK","SHARK710",15.0621,56.1651,3.17076415625263
"27704","ODAM","ODAM1681",10.5655,56.1659,43.3940810682075
"27705","ODAM","ODAM1160",10.2437,56.1661,40.633394652185
"27706","SHARK","SHARK780",15.3024,56.1663,18.3148230806737
"27707","SHARK","SHARK783",15.305,56.1663,132.094695085434
"27708","SHARK","SHARK781",15.3026,56.1666,3.53204030793076
