"","data","sta","x","y","AFDW_Omni"
"222","HELCOM","HELCOM3",8.83091667,56.73393333,29.2945693709828
"223","HELCOM","HELCOM30",10.22453333,56.5454,1127.21313505101
"224","HELCOM","HELCOM300",17.34776667,58.45358333,NA
"225","HELCOM","HELCOM301",17.3485,61.03283333,NA
"226","HELCOM","HELCOM302",17.35216667,61.072,NA
"227","HELCOM","HELCOM303",17.35883333,61.953,0.0149177224090594
"228","HELCOM","HELCOM304",17.35988333,61.37578333,NA
"229","HELCOM","HELCOM305",17.36028333,61.37578333,NA
"230","HELCOM","HELCOM306",17.3603,61.37585,0.0149026995264724
"231","HELCOM","HELCOM307",17.36033333,61.37566667,NA
"232","HELCOM","HELCOM308",17.36035,61.37576667,NA
"233","HELCOM","HELCOM309",17.36483333,61.92716667,NA
"234","HELCOM","HELCOM31",10.22803333,56.51623333,1352.85777844958
"235","HELCOM","HELCOM310",17.3683,61.39308333,NA
"236","HELCOM","HELCOM311",17.3683,61.3932,NA
"237","HELCOM","HELCOM312",17.36831667,61.39315,NA
"238","HELCOM","HELCOM313",17.3684,58.56138333,NA
"239","HELCOM","HELCOM314",17.36843333,61.39315,NA
"240","HELCOM","HELCOM315",17.36845,58.56136667,NA
"241","HELCOM","HELCOM316",17.3685,61.39316667,NA
"242","HELCOM","HELCOM317",17.36855,58.56131667,NA
"243","HELCOM","HELCOM318",17.3886,58.45178333,0.00199961729812471
"244","HELCOM","HELCOM319",17.38865,58.45181667,0.0106734759016914
"245","HELCOM","HELCOM32",10.23183333,56.71223333,4963.19577401437
"246","HELCOM","HELCOM320",17.38905,58.45188333,0.00134647596959152
"247","HELCOM","HELCOM321",17.3895,61.788,NA
"248","HELCOM","HELCOM322",17.395,61.98583333,NA
"249","HELCOM","HELCOM323",17.40691667,58.45716667,NA
"250","HELCOM","HELCOM324",17.407,58.45738333,NA
"251","HELCOM","HELCOM325",17.40701667,58.45751667,0.00134647596959152
"252","HELCOM","HELCOM326",17.42675,58.47065,0.00133418448771143
"253","HELCOM","HELCOM327",17.4268,58.4707,NA
"254","HELCOM","HELCOM328",17.42691667,58.47076667,NA
"255","HELCOM","HELCOM329",17.42933333,61.37783333,NA
"256","HELCOM","HELCOM33",10.23253333,56.49056667,1308.81935864522
"257","HELCOM","HELCOM330",17.4294,61.37768333,NA
"258","HELCOM","HELCOM331",17.42953333,61.3777,NA
"259","HELCOM","HELCOM332",17.4296,61.37768333,NA
"260","HELCOM","HELCOM333",17.4297,61.3776,NA
"261","HELCOM","HELCOM334",17.43271667,61.34413333,NA
"262","HELCOM","HELCOM335",17.4329,61.3442,NA
"263","HELCOM","HELCOM336",17.43296667,61.34415,NA
"264","HELCOM","HELCOM337",17.43298333,61.34408333,NA
"265","HELCOM","HELCOM338",17.43316667,61.344,NA
"266","HELCOM","HELCOM339",17.44583333,60.84566667,NA
"267","HELCOM","HELCOM34",10.24275,55.81978333,541.28538475686
"268","HELCOM","HELCOM340",17.45133333,60.93333333,NA
"269","HELCOM","HELCOM341",17.49666667,61.98583333,NA
"270","HELCOM","HELCOM342",17.513,61.35158333,NA
"271","HELCOM","HELCOM343",17.51311667,61.35163333,NA
"272","HELCOM","HELCOM344",17.5133,61.35171667,NA
"273","HELCOM","HELCOM345",17.5134,61.3517,NA
"274","HELCOM","HELCOM346",17.552,58.84083333,NA
"275","HELCOM","HELCOM347",17.57166667,61.85883333,NA
"276","HELCOM","HELCOM348",17.57633333,58.82633333,NA
"277","HELCOM","HELCOM349",17.57766667,58.803,21.6657325955833
"278","HELCOM","HELCOM35",10.24603333,56.5629,1445.00788124815
"279","HELCOM","HELCOM350",17.59066667,61.90533333,NA
"280","HELCOM","HELCOM351",17.59308333,61.3239,NA
"281","HELCOM","HELCOM352",17.59321667,61.32398333,NA
"282","HELCOM","HELCOM353",17.59328333,61.32398333,NA
"283","HELCOM","HELCOM354",17.59338333,61.324,NA
"284","HELCOM","HELCOM355",17.60033333,58.75116667,2.70921638309697
"285","HELCOM","HELCOM356",17.60216667,61.81,NA
"286","HELCOM","HELCOM357",17.607,58.811,NA
"287","HELCOM","HELCOM358",17.6195,58.733,0.00399923459624943
"288","HELCOM","HELCOM359",17.629,61.18958333,NA
"289","HELCOM","HELCOM36",10.2512,55.00028333,NA
"290","HELCOM","HELCOM360",17.62901667,61.18943333,NA
"291","HELCOM","HELCOM361",17.6291,61.18958333,NA
"292","HELCOM","HELCOM362",17.62925,61.18948333,NA
"293","HELCOM","HELCOM363",17.65283333,58.7815,NA
"294","HELCOM","HELCOM364",17.653,58.76783333,NA
"295","HELCOM","HELCOM365",17.66028333,61.27048333,NA
"296","HELCOM","HELCOM366",17.66038333,61.2704,NA
"297","HELCOM","HELCOM367",17.66038333,61.2705,NA
"298","HELCOM","HELCOM368",17.6605,61.27033333,NA
"299","HELCOM","HELCOM369",17.66317,61.23333,NA
"300","HELCOM","HELCOM37",10.25586667,56.56623333,1639.04145168247
"301","HELCOM","HELCOM370",17.6646,61.25248333,NA
"302","HELCOM","HELCOM371",17.66461667,61.25248333,NA
"303","HELCOM","HELCOM372",17.66478333,61.25248333,NA
"304","HELCOM","HELCOM373",17.66503333,61.25248333,NA
"305","HELCOM","HELCOM374",17.66666667,61.23341667,NA
"306","HELCOM","HELCOM375",17.66668333,61.23328333,NA
"307","HELCOM","HELCOM376",17.66668333,61.2334,NA
"308","HELCOM","HELCOM377",17.66681667,61.23335,NA
"309","HELCOM","HELCOM378",17.6705,58.79716667,0.00933154739124867
"310","HELCOM","HELCOM379",17.682,61.9295,NA
"311","HELCOM","HELCOM38",10.2622,56.58273333,1953.89333578983
"312","HELCOM","HELCOM380",17.68333333,58.73816667,NA
"313","HELCOM","HELCOM381",17.6915,58.774,NA
"314","HELCOM","HELCOM382",17.71866667,58.75883333,NA
"315","HELCOM","HELCOM383",17.72833333,58.79033333,NA
"316","HELCOM","HELCOM384",17.74,61.94,NA
"317","HELCOM","HELCOM385",17.7525,58.76883333,1.35394165244911
"318","HELCOM","HELCOM386",17.76283333,58.79316667,NA
"319","HELCOM","HELCOM387",17.81416667,58.744,NA
"320","HELCOM","HELCOM388",17.83133333,58.76683333,NA
"321","HELCOM","HELCOM389",17.83683333,58.74466667,1.35394165244911
"322","HELCOM","HELCOM39",10.28968333,56.13398333,101.582119486513
"323","HELCOM","HELCOM390",17.84233333,58.719,NA
"324","HELCOM","HELCOM391",18.16667,62.13333,0.00440427994934137
"325","HELCOM","HELCOM392",18.23333,61.18333,NA
"326","HELCOM","HELCOM393",18.2873,62.79953333,NA
"327","HELCOM","HELCOM394",18.28796667,62.7996,NA
"328","HELCOM","HELCOM395",18.288,62.7995,NA
"329","HELCOM","HELCOM396",18.28818333,62.7997,NA
"330","HELCOM","HELCOM397",18.29835,62.7664,0.0149026995264724
"331","HELCOM","HELCOM398",18.29898333,62.76598333,NA
"332","HELCOM","HELCOM399",18.29918333,62.76618333,NA
"333","HELCOM","HELCOM4",8.8603,56.75361667,28.0735837805604
"334","HELCOM","HELCOM40",10.29603333,56.59656667,1663.93627029806
"335","HELCOM","HELCOM400",18.29941667,62.76618333,0.0149327756102796
"336","HELCOM","HELCOM401",18.31813333,62.79943333,NA
"337","HELCOM","HELCOM402",18.3182,62.79938333,NA
"338","HELCOM","HELCOM403",18.3184,62.79958333,NA
"339","HELCOM","HELCOM404",18.31875,62.79926667,NA
"340","HELCOM","HELCOM405",18.39198333,62.7828,NA
"341","HELCOM","HELCOM406",18.39216667,62.78283333,NA
"342","HELCOM","HELCOM407",18.39218333,62.78288333,NA
"343","HELCOM","HELCOM408",18.39223333,62.78283333,NA
"344","HELCOM","HELCOM409",18.39528333,62.81838333,NA
"345","HELCOM","HELCOM41",10.29833333,55.595,12388.692814557
