"","data","sta","x","y","AFDW_Dep"
"337","HELCOM","HELCOM402",18.3182,62.79938333,4.52618511077209
"338","HELCOM","HELCOM403",18.3184,62.79958333,1.60654697143789
"339","HELCOM","HELCOM404",18.31875,62.79926667,3.9016814874199
"340","HELCOM","HELCOM405",18.39198333,62.7828,1.82356026251614
"341","HELCOM","HELCOM406",18.39216667,62.78283333,1.7724341679571
"342","HELCOM","HELCOM407",18.39218333,62.78288333,1.54808123982139
"343","HELCOM","HELCOM408",18.39223333,62.78283333,1.09387741631427
"344","HELCOM","HELCOM409",18.39528333,62.81838333,6.88955967805057
"345","HELCOM","HELCOM41",10.29833333,55.595,260.259236037364
"346","HELCOM","HELCOM410",18.39535,62.81851667,6.66872903297844
"347","HELCOM","HELCOM411",18.39536667,62.8184,6.79477874763815
"348","HELCOM","HELCOM412",18.39538333,62.8186,8.69064160785097
"349","HELCOM","HELCOM413",18.4,55.555,NA
"350","HELCOM","HELCOM414",18.45628333,62.8273,4.49218133450629
"351","HELCOM","HELCOM415",18.45666667,62.82743333,5.75944248511386
"352","HELCOM","HELCOM416",18.4567,62.82738333,3.97322021788634
"353","HELCOM","HELCOM417",18.45676667,62.82703333,6.93260431682682
"354","HELCOM","HELCOM418",18.4835,60.32316667,3.32631180322955
"355","HELCOM","HELCOM419",18.52178333,62.8511,1.84692270784736
"356","HELCOM","HELCOM42",10.2997,56.60506667,2.77267389812615
"357","HELCOM","HELCOM420",18.52185,62.8509,2.02403474553586
"358","HELCOM","HELCOM421",18.52196667,62.851,1.28644653213084
"359","HELCOM","HELCOM422",18.52208333,62.85098333,1.70658837389779
"360","HELCOM","HELCOM423",18.52533333,60.302,3.70889306036057
"361","HELCOM","HELCOM424",18.55183333,60.299,0.926064462603202
"362","HELCOM","HELCOM425",18.5645,60.27016667,1.20768432660452
"363","HELCOM","HELCOM426",18.5837,62.86311667,4.67106621103301
"364","HELCOM","HELCOM427",18.5837,62.86318333,5.22010866236125
"365","HELCOM","HELCOM428",18.5838,62.86318333,2.98773891230736
"366","HELCOM","HELCOM429",18.58385,62.86311667,6.81344068726764
"367","HELCOM","HELCOM43",10.31471667,54.97101667,NA
"368","HELCOM","HELCOM430",18.5985,60.27166667,20.0022716593873
"369","HELCOM","HELCOM431",18.61853333,62.8841,3.89418550347366
"370","HELCOM","HELCOM432",18.61865,62.88416667,4.51323833536092
"371","HELCOM","HELCOM433",18.6188,62.88418333,4.03860206792623
"372","HELCOM","HELCOM434",18.61898333,62.88408333,3.39173351530464
"373","HELCOM","HELCOM435",18.63285,62.90675,2.37882303322828
"374","HELCOM","HELCOM436",18.63288333,62.90678333,6.95952184009662
"375","HELCOM","HELCOM437",18.6329,62.90678333,2.37486361338066
"376","HELCOM","HELCOM438",18.63298333,62.90698333,6.19950339494345
"377","HELCOM","HELCOM439",18.633,60.24433333,8.16262379732048
"379","HELCOM","HELCOM440",18.63616667,60.26083333,4.27797982359574
"380","HELCOM","HELCOM441",18.65633333,60.22733333,5.81716072685137
"381","HELCOM","HELCOM442",18.67066667,60.24366667,8.23193647622173
"382","HELCOM","HELCOM443",18.67483333,60.26316667,4.64812034174861
"383","HELCOM","HELCOM444",18.7484,60.6015,2.88917452698901
"384","HELCOM","HELCOM445",18.74841667,60.60145,5.74734054938694
"385","HELCOM","HELCOM446",18.74848333,60.60138333,4.47032038659321
"386","HELCOM","HELCOM447",18.74848333,60.60151667,2.92056587035818
"387","HELCOM","HELCOM448",18.7865,60.5534,8.22018831414367
"388","HELCOM","HELCOM449",18.78663333,60.55338333,5.54468491955786
"389","HELCOM","HELCOM45",10.32066667,54.97125,1.36819286222991
"390","HELCOM","HELCOM450",18.78665,60.5533,13.9633903987813
"391","HELCOM","HELCOM451",18.78668333,60.5534,6.58378180712545
"392","HELCOM","HELCOM452",18.8108,60.43138333,9.29741233685091
"393","HELCOM","HELCOM453",18.8109,60.43128333,4.63521141592461
"394","HELCOM","HELCOM454",18.81095,60.43123333,2.29801894674605
"395","HELCOM","HELCOM455",18.81098333,60.43118333,9.29122417605974
"396","HELCOM","HELCOM456",18.824,57.16266667,9.92111933474689
"397","HELCOM","HELCOM457",18.824,57.16278333,20.6771208662943
"398","HELCOM","HELCOM458",18.82401667,57.16258333,16.172561507643
"399","HELCOM","HELCOM459",18.8241,57.16258333,18.6281432972554
