phy,cla,ord,fam,gen,taxon,Motility,Body size,Burrowing depth,Morphology,Mobility,Mixing type,Mixing rate,Mi,Mi2,Ri,Morphology 2,Morphology 2,Body size 2,Burrowing depth 2,Mixing rate 2
Annelida,Polychaeta,Phyllodocida,Hesionidae,Kefersteinia,Kefersteinia cirrata,Crawler,3-10cm,0cm,Cylindrical,Intermediate,Diffusion,Very low,3,3,4,2,2,3,1,18
Annelida,Polychaeta,Spionida,Spionidae,Malacoceros,Malacoceros fuliginosus,Crawler-Swimmer,3-10cm,5-10cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,3,18
Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis bonnieri,Crawler,3-10cm,5-10cm,Cylindrical,Low,Upward conveying,Very low,2,2,3,1,1,3,3,18
Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita obtusata,Crawler-Swimmer,<1cm,0-5cm,Articulated,Low,Surface mixing,Very low,2,2,2,4,5,1,2,20
Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium,Synchelidium haplocheles,Crawler-Swimmer,<1cm,0-5cm,Articulated,Low,Surface mixing,Very low,2,2,2,4,5,1,2,20
Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium,Synchelidium maculatum,Crawler-Swimmer,<1cm,0-5cm,Articulated,Low,Surface mixing,Very low,2,2,2,4,5,1,2,20
Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca brevicornis,Crawler-Swimmer,1-3cm,0-5cm,Articulated,Very low,Surface mixing,Very low,1,1,2,4,5,2,2,20
Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca macrocephala,Crawler-Swimmer,1-3cm,0-5cm,Articulated,Very low,Surface mixing,Very low,1,1,2,4,5,2,2,20
Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca spinipes,Crawler-Swimmer,1-3cm,0-5cm,Articulated,Very low,Surface mixing,Very low,1,1,2,4,5,2,2,20
Annelida,Polychaeta,,Maldanidae,Euclymene,Euclymene,Tubicolous,10-20cm,15-30cm,Cylindrical,Very low,D/U conveying,Very low,1,1,3,1,1,4,5,20
Annelida,Polychaeta,,Maldanidae,Heteroclymene,Heteroclymene robusta,Tubicolous,10-20cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,4,5,20
Annelida,Polychaeta,Spionida,Spionidae,Laonice,Laonice cirrata,Tubicolous,10-20cm,15-30cm,Cylindrical,Very low,D/U conveying,Very low,1,1,3,1,1,4,5,20
